"Time [ms]","ElecPower []","MechPower []"
363,7915.92129578492,7558.71405246391
364,7011.68575364588,7030.95933304738
365,8617.21188906336,9904.74189072092
366,7456.81417095727,7502.69647205735
367,8298.35522881381,8880.66102324985
368,8067.55137308917,6008.7546876442
369,7858.3287615266,7623.98332714577
370,8179.28854426494,5380.07748131443
371,6991.57996106181,6412.93873068324
372,8453.44871014601,8596.52868867468
373,7211.72070157602,6393.14196898479
374,7693.21160927364,9172.61414021251
375,8615.90952771617,7891.3024571706
376,7414.14593242479,6772.4877855933
377,8893.40422488387,9171.45943089867
378,7228.70338444046,4561.13253435512
379,8398.45801755189,8199.51745670489
380,7556.60680420104,6067.48454485495
381,7237.37865502023,7281.62174494896
382,8640.43087260597,9710.18146882249
383,7257.64083975079,7541.01373321998
384,8553.90907981917,9144.52255779507
385,7944.32514144948,7111.7742961439
386,8259.81138303074,7569.79885823998
387,7997.57873218265,5739.02226158313
388,7382.46025355436,6623.98357255607
389,8433.31938040724,7998.04575833519
390,7098.60963553982,6897.87938456085
391,8103.97982293784,10241.8946660213
392,8267.29307350977,6399.01957588612
393,7698.88670655579,8167.56103485222
394,8921.90103934838,6916.00637816681
395,7264.40695049646,5458.69851385603
396,8835.86892626227,8564.70498225413
397,7194.31767445415,5452.59841143286
398,7781.95935760665,8485.36551240817
399,8376.53349287963,9043.97891167539
400,7216.05968450433,6997.0252388924
401,8850.58625924198,9717.29280443089
402,7796.68307533276,6955.15346545045
403,8471.33301809956,7917.11486519143
404,7918.62841350335,6654.47616824781
405,7696.62591068985,6659.49574786381
406,8259.63530267834,7636.89672553447
407,7082.84639925437,6848.03739515191
408,8414.60023896965,9987.34135837126
409,7904.46920932962,6812.3807557693
410,7995.53710912503,9689.53251305476
411,8599.60617651094,5319.16482133751
412,7442.73657926071,6551.02831637337
413,8848.62626730958,6628.76682163028
414,6930.00916237197,5378.6901511575
415,8285.76984530406,9110.59047743949
416,7793.65448138904,8126.93023705279
417,7295.42616528693,7705.67025489398
418,8904.82239811322,10225.7299719855
419,7505.8615936708,5833.3444332716
420,8626.49038259942,8530.05122276728
421,7720.80571898285,6014.85029883138
422,7916.8048868866,7065.15312581767
423,7977.12236343212,7748.31163422824
424,7017.70438394615,6827.10913921449
425,8518.48130333825,9529.10701539207
426,7502.34480443631,7093.30895213888
427,8166.38521012957,9495.16733474016
428,8226.9210844452,5715.25049207379
429,7703.14612691139,7956.8929892024
430,8428.26563085125,5212.81855694262
431,6900.45146335558,5667.79331629502
432,8502.51281986662,8371.2151318263
433,7256.04717199083,6624.92830512944
434,7531.42161659731,8734.46329463518
435,8696.6545261079,9636.71625888192
436,7353.63601886786,6264.21408774111
437,8792.15285420532,9394.81052530836
438,7449.32468905977,4727.75818938632
439,8238.1525890934,7674.78988004214
440,7737.27855345909,6543.91741100478
441,7165.69382422481,6942.85765099892
442,8582.23763483348,9859.37615480185
443,7256.48138604903,7649.27052168982
444,8397.78243755948,9162.53799735804
445,8040.62954200673,6554.25708547964
446,8150.13692340269,8046.55950928462
447,8149.22534292438,5328.98184385547
448,7269.04409074049,6781.41323493363
449,8511.56760743955,7786.04307294838
450,7053.72144351511,6356.39633408526
451,7978.59025845739,9599.87011612823
452,8376.08579462007,7410.05256137562
453,7555.97789308855,7609.13169596014
454,8994.52883911054,9000.12659524943
455,7344.81966907994,4973.16176097674
456,8697.34136302206,8632.75853942831
457,7434.42859013594,5332.74837886368
458,7615.40124992735,7707.12615473671
459,8474.96818755267,9092.7168464002
460,7169.96242910168,7334.33001817343
461,8722.91696401583,9691.35763478553
462,7885.26613793429,7570.073282264
463,8381.93090195452,7924.54196854441
464,8017.53230288161,5977.95688641306
465,7651.19043524922,6767.36410482454
466,8332.923449335,7182.33018752905
467,7052.3526474986,6864.0684958656
468,8331.53377195888,10206.3295541934
469,7945.44321938181,6629.1861849821
470,7815.90168825985,9004.16673771907
471,8839.67032723162,6438.62852420743
472,7389.50610943575,6039.83553831221
473,8936.45088799481,8061.24465891546
474,7072.73886254363,5052.64960433194
475,8113.28178096945,8850.11403387288
476,7951.18280039954,8145.8495780212
477,7167.98052672648,7218.89010889891
478,8884.39968927084,9982.77818984233
479,7592.83697090883,6757.67407561747
480,8538.17780735706,8366.95927386996
481,7855.21198173353,6857.12316858377
482,7878.30548482533,6815.76828143455
483,8027.4073463591,6999.16028597005
484,7034.97404352957,6611.67543764814
485,8453.5480875742,9512.37810989826
486,7529.67051138848,6968.55472714321
487,8002.18715008377,10061.3024297229
488,8414.65578284131,5543.68816101017
489,7542.92270157352,7344.80444020139
490,8703.9400843501,5787.63310584264
491,6879.51131675724,5269.15939114674
492,8485.60377465406,8638.57181033203
493,7356.07343607606,7027.70209512244
494,7336.98328676899,8283.79585213593
495,8746.41416357467,10181.5525573773
496,7343.85155369059,6112.79472705264
497,8671.0796029572,9007.61586750237
498,7654.71374765255,5687.30343591808
499,8127.17978118627,7343.57920119859
500,7834.99473367997,7161.12701125426
